,ID Ticket,Fecha,ID Empleado,ID Agente,Categoría,Tipo,Severidad,Prioridad,Días Resolución,Satisfacción
0,GDDEER-8142900901,2017-06-14,1200,29,Software,Problema,0 - Sin Clasificar,0 - Sin Asignar,1,5
1,GDDEST-7342745152,2017-01-10,1855,31,Sistema,Problema,0 - Sin Clasificar,0 - Sin Asignar,3,5
2,GDLEER-0042906431,2017-06-20,233,34,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
3,GDLEER-0042997167,2017-09-19,996,21,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
4,GDLEER-0142746832,2017-01-11,1113,48,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
5,GDLEER-0142845496,2017-04-20,29,24,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
6,GDLEER-0142871769,2017-05-16,666,27,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
7,GDLEER-0143089051,2017-12-20,45,30,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
8,GDLEER-0143094662,2017-12-25,126,36,Software,Problema,2 - Normal,0 - Sin Asignar,1,1
9,GDLEER-0342760438,2017-01-25,213,34,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
10,GDLEER-0442872280,2017-05-17,188,12,Software,Problema,2 - Normal,0 - Sin Asignar,4,5
11,GDLEER-0542882251,2017-05-27,405,2,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
12,GDLEER-0542898676,2017-06-12,1327,16,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
13,GDLEER-0843029202,2017-10-21,830,2,Hardware,Problema,2 - Normal,0 - Sin Asignar,8,5
14,GDLEER-1042812837,2017-03-18,213,18,Hardware,Problema,2 - Normal,0 - Sin Asignar,10,1
15,GDLEER-1042923426,2017-07-07,362,24,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
16,GDLEER-1142813400,2017-03-19,1700,34,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
17,GDLEER-1142977545,2017-08-30,434,45,Software,Problema,2 - Normal,0 - Sin Asignar,1,1
18,GDLEER-1242822427,2017-03-28,262,34,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
19,GDLEER-1342844485,2017-04-19,598,14,Hardware,Problema,4 - Crítico,0 - Sin Asignar,7,5
20,GDLEER-2142778505,2017-02-12,1790,45,Software,Problema,2 - Normal,0 - Sin Asignar,1,1
21,GDLEER-2142870484,2017-05-15,1068,24,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
22,GDLEER-2142902636,2017-06-16,1833,26,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
23,GDLEER-2142995095,2017-09-17,1689,10,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
24,GDLEER-2442854320,2017-04-29,1172,33,Software,Problema,2 - Normal,0 - Sin Asignar,4,1
25,GDLEER-2642900911,2017-06-14,1281,29,Hardware,Problema,4 - Crítico,0 - Sin Asignar,6,5
26,GDLEER-2642909643,2017-06-23,1964,36,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,1
27,GDLEER-2742831854,2017-04-06,1935,48,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,5
28,GDLEER-2842878121,2017-05-23,22,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,8,5
29,GDLEER-2842991439,2017-09-13,823,44,Software,Problema,2 - Normal,0 - Sin Asignar,8,5
30,GDLEER-3042752036,2017-01-17,1653,40,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
31,GDLEER-3042913609,2017-06-27,1600,26,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
32,GDLEER-3242890232,2017-06-04,773,2,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
33,GDLEER-3342998381,2017-09-20,748,23,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
34,GDLEER-3742926171,2017-07-10,527,21,Software,Problema,2 - Normal,0 - Sin Asignar,7,5
35,GDLEER-3742955556,2017-08-08,165,45,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,5
36,GDLEER-3942815576,2017-03-21,1827,35,Hardware,Problema,2 - Normal,0 - Sin Asignar,14,5
37,GDLEER-4043000482,2017-09-22,1168,14,Hardware,Problema,2 - Normal,0 - Sin Asignar,10,5
38,GDLEER-4043048854,2017-11-09,1185,38,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
39,GDLEER-4242780156,2017-02-14,1325,11,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
40,GDLEER-4342787611,2017-02-21,911,36,Hardware,Problema,2 - Normal,0 - Sin Asignar,13,1
41,GDLEER-4342995557,2017-09-17,655,25,Hardware,Problema,2 - Normal,0 - Sin Asignar,13,1
