,ID Ticket,Fecha,Tipo,Categoría,ID Empleado,ID Agente,Severidad,Prioridad,Días Resolución,Satisfacción
0,GDDENR-6044135832,2020-10-31,Problema,Acceso/Login,773,48,0 - Sin Clasificar,0 - Sin Asignar,0,5
1,GDDESR-1444031730,2020-07-19,Problema,Sistema,613,17,0 - Sin Clasificar,0 - Sin Asignar,4,5
2,GDDESR-3244128887,2020-10-24,Problema,Sistema,1508,8,0 - Sin Clasificar,0 - Sin Asignar,2,1
3,GDDESR-4443972026,2020-05-21,Problema,Sistema,1192,20,0 - Sin Clasificar,0 - Sin Asignar,4,5
4,GDDESR-9044014744,2020-07-02,Problema,Sistema,1224,7,0 - Sin Clasificar,0 - Sin Asignar,10,5
5,GDDEST-1243903752,2020-03-13,Problema,Sistema,1855,47,0 - Sin Clasificar,0 - Sin Asignar,2,5
6,GDDTER-1243841595,2020-01-11,Solicitud,Hardware,959,15,0 - Sin Clasificar,0 - Sin Asignar,12,5
7,GDDTSR-7544087605,2020-09-13,Solicitud,Sistema,1720,16,0 - Sin Clasificar,0 - Sin Asignar,5,5
8,GDDTST-8344117798,2020-10-13,Solicitud,Sistema,1609,7,0 - Sin Clasificar,0 - Sin Asignar,13,5
9,GDLEER-0043847577,2020-01-17,Problema,Software,467,45,2 - Normal,0 - Sin Asignar,0,5
10,GDLEER-0044026672,2020-07-14,Problema,Hardware,107,26,2 - Normal,0 - Sin Asignar,10,5
11,GDLEER-0044109201,2020-10-05,Problema,Software,10,42,2 - Normal,0 - Sin Asignar,0,5
12,GDLEER-0143860597,2020-01-30,Problema,Software,659,15,2 - Normal,0 - Sin Asignar,1,5
13,GDLEER-0243950585,2020-04-29,Problema,Software,638,25,2 - Normal,0 - Sin Asignar,2,5
14,GDLEER-0244188770,2020-12-23,Problema,Software,1697,17,2 - Normal,0 - Sin Asignar,2,5
15,GDLEER-0543856768,2020-01-26,Problema,Hardware,456,47,2 - Normal,0 - Sin Asignar,5,5
16,GDLEER-0543992211,2020-06-10,Problema,Hardware,1171,12,2 - Normal,0 - Sin Asignar,5,5
17,GDLEER-0643956481,2020-05-05,Problema,Software,598,44,2 - Normal,0 - Sin Asignar,6,5
18,GDLEER-0643991807,2020-06-09,Problema,Hardware,300,28,2 - Normal,0 - Sin Asignar,19,5
19,GDLEER-0743833658,2020-01-03,Problema,Hardware,505,26,2 - Normal,0 - Sin Asignar,17,5
20,GDLEER-0743902299,2020-03-12,Problema,Hardware,1679,42,2 - Normal,0 - Sin Asignar,7,5
21,GDLEER-0743945476,2020-04-24,Problema,Hardware,1037,34,2 - Normal,0 - Sin Asignar,7,5
22,GDLEER-0843967891,2020-05-16,Problema,Software,609,48,2 - Normal,0 - Sin Asignar,8,5
23,GDLEER-0844050729,2020-08-07,Problema,Hardware,562,17,2 - Normal,0 - Sin Asignar,8,5
24,GDLEER-1044097608,2020-09-23,Problema,Software,1600,26,2 - Normal,0 - Sin Asignar,0,5
25,GDLEER-1143995329,2020-06-13,Problema,Software,1752,43,2 - Normal,0 - Sin Asignar,1,5
26,GDLEER-1243940004,2020-04-19,Problema,Software,400,10,2 - Normal,0 - Sin Asignar,2,5
27,GDLEER-1244081874,2020-09-07,Problema,Software,277,18,4 - Crítico,0 - Sin Asignar,2,5
28,GDLEER-1343870932,2020-02-09,Problema,Software,1883,39,2 - Normal,0 - Sin Asignar,13,5
29,GDLEER-1344118001,2020-10-14,Problema,Hardware,1440,40,2 - Normal,0 - Sin Asignar,9,5
30,GDLEER-1444003868,2020-06-21,Problema,Software,426,18,2 - Normal,0 - Sin Asignar,4,5
31,GDLEER-1444007850,2020-06-25,Problema,Software,1375,48,2 - Normal,0 - Sin Asignar,4,5
32,GDLEER-1543871766,2020-02-10,Problema,Hardware,1466,17,2 - Normal,0 - Sin Asignar,5,5
33,GDLEER-1544086800,2020-09-12,Problema,Hardware,300,8,2 - Normal,0 - Sin Asignar,5,5
34,GDLEER-1644095446,2020-09-21,Problema,Hardware,124,44,2 - Normal,0 - Sin Asignar,6,5
35,GDLEER-1644141959,2020-11-06,Problema,Hardware,955,19,2 - Normal,0 - Sin Asignar,16,1
36,GDLEER-1844110860,2020-10-06,Problema,Hardware,1136,48,2 - Normal,0 - Sin Asignar,8,5
37,GDLEER-2043879095,2020-02-18,Problema,Hardware,1119,30,2 - Normal,0 - Sin Asignar,10,1
38,GDLEER-2043895952,2020-03-05,Problema,Software,825,19,2 - Normal,0 - Sin Asignar,0,1
39,GDLEER-2144110097,2020-10-06,Problema,Software,149,40,2 - Normal,0 - Sin Asignar,1,5
40,GDLEER-2243907577,2020-03-17,Problema,Software,507,45,2 - Normal,0 - Sin Asignar,2,5
41,GDLEER-2244193967,2020-12-28,Problema,Software,1616,29,2 - Normal,0 - Sin Asignar,2,5
